0,5
10,10
20,12
30,23
40,37
50,51
60,72
70,150
80,121
90,126
100,169
110,220
120,242
130,286
140,325
150,360
160,383
170,458
180,514
190,589
200,658
210,727
220,788
230,804
240,1157
250,1096
260,1187
270,1201
280,1348
290,1380
300,1540
310,1451
320,2058
330,1749
340,1719
350,1848
360,2013
370,1973
380,2916
390,2482
400,2708
410,2524
420,2689
430,2768
440,2939
450,3084
460,3317
470,3356
480,3268
490,5593
500,4281
510,3826
520,4102
530,4442
540,4215
550,4424
560,4848
570,4738
580,5320
590,5463
600,20718
610,5719
620,5693
630,5694
640,5851
650,6467
660,6456
670,6362
680,7113
690,7251
700,7424
710,7222
720,7723
730,7787
740,8230
750,8538
760,8315
770,8805
780,9103
790,9393
800,9278
810,9602
820,10126
830,10684
840,10470
850,11187
860,10661
870,11069
880,11191
890,11607
900,11929
910,11998
920,12403
930,14403
940,15808
950,14563
960,13614
970,14197
980,14271
990,14603
1000,17333
